RecordID,Date,DataField1,DataField2
1,1/10/2017,Test Data 1,Test Data 1
2,1/11/2017,Test Data 2,Test Data 2
3,1/12/2017,Test Data 3,Test Data 3
4,1/13/2017,Test Data 4,Test Data 4
5,1/14/2017,Test Data 5,Test Data 5
6,1/15/2017,Test Data 6,Test Data 6
7,1/16/2017,Test Data 7,Test Data 7
8,1/17/2017,Test Data 8,Test Data 8
9,1/18/2017,Test Data 9,Test Data 9
10,1/19/2017,Test Data 10,Test Data 10
11,1/20/2017,Test Data 11,Test Data 11
12,1/21/2017,Test Data 12,Test Data 12
13,1/22/2017,Test Data 13,Test Data 13
14,1/23/2017,Test Data 14,Test Data 14
15,1/24/2017,Test Data 15,Test Data 15
16,1/25/2017,Test Data 16,Test Data 16
17,1/26/2017,Test Data 17,Test Data 17
18,1/27/2017,Test Data 18,Test Data 18
19,1/28/2017,Test Data 19,Test Data 19
20,1/29/2017,Test Data 20,Test Data 20
21,1/30/2017,Test Data 21,Test Data 21
22,1/31/2017,Test Data 22,Test Data 22
23,2/1/2017,Test Data 23,Test Data 23
24,2/2/2017,Test Data 24,Test Data 24
25,2/3/2017,Test Data 25,Test Data 25
26,2/4/2017,Test Data 26,Test Data 26
27,2/5/2017,Test Data 27,Test Data 27
28,2/6/2017,Test Data 28,Test Data 28
29,2/7/2017,Test Data 29,Test Data 29
30,2/8/2017,Test Data 30,Test Data 30
31,2/9/2017,Test Data 31,Test Data 31
32,2/10/2017,Test Data 32,Test Data 32
33,2/11/2017,Test Data 33,Test Data 33
34,2/12/2017,Test Data 34,Test Data 34
35,2/13/2017,Test Data 35,Test Data 35
36,2/14/2017,Test Data 36,Test Data 36
37,2/15/2017,Test Data 37,Test Data 37
38,2/16/2017,Test Data 38,Test Data 38
39,2/17/2017,Test Data 39,Test Data 39
40,2/18/2017,Test Data 40,Test Data 40
41,2/19/2017,Test Data 41,Test Data 41
42,2/20/2017,Test Data 42,Test Data 42
43,2/21/2017,Test Data 43,Test Data 43
44,2/22/2017,Test Data 44,Test Data 44
45,2/23/2017,Test Data 45,Test Data 45
46,2/24/2017,Test Data 46,Test Data 46
47,2/25/2017,Test Data 47,Test Data 47
48,2/26/2017,Test Data 48,Test Data 48
49,2/27/2017,Test Data 49,Test Data 49
50,2/28/2017,Test Data 50,Test Data 50
51,3/1/2017,Test Data 51,Test Data 51
52,3/2/2017,Test Data 52,Test Data 52
53,3/3/2017,Test Data 53,Test Data 53
54,3/4/2017,Test Data 54,Test Data 54
55,3/5/2017,Test Data 55,Test Data 55
56,3/6/2017,Test Data 56,Test Data 56
57,3/7/2017,Test Data 57,Test Data 57
58,3/8/2017,Test Data 58,Test Data 58
59,3/9/2017,Test Data 59,Test Data 59
60,3/10/2017,Test Data 60,Test Data 60
61,3/11/2017,Test Data 61,Test Data 61
62,3/12/2017,Test Data 62,Test Data 62
63,3/13/2017,Test Data 63,Test Data 63
64,3/14/2017,Test Data 64,Test Data 64
65,3/15/2017,Test Data 65,Test Data 65
66,3/16/2017,Test Data 66,Test Data 66
67,3/17/2017,Test Data 67,Test Data 67
68,3/18/2017,Test Data 68,Test Data 68
69,3/19/2017,Test Data 69,Test Data 69
70,3/20/2017,Test Data 70,Test Data 70
71,3/21/2017,Test Data 71,Test Data 71
72,3/22/2017,Test Data 72,Test Data 72
73,3/23/2017,Test Data 73,Test Data 73
74,3/24/2017,Test Data 74,Test Data 74
75,3/25/2017,Test Data 75,Test Data 75
76,3/26/2017,Test Data 76,Test Data 76
77,3/27/2017,Test Data 77,Test Data 77
78,3/28/2017,Test Data 78,Test Data 78
79,3/29/2017,Test Data 79,Test Data 79
80,3/30/2017,Test Data 80,Test Data 80
